Status,"Product code","Product user reference","Department code",Department,"Subdepartment code",Subdepartment,"Family code",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,AWGSoap-01,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538799,3946483,3.03,10,piece,0.303,"Heart Guest Soap - Lavender",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, Lavendula Angustifolia Oil, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 77891, CI 42090, CI 45430, Linalool, Limonene, Geraniol","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weight approx 20 grams each and measure approx 45x40mm.</p><p><strong>Our Guest Soaps are also SLS and Paraben free.</strong></p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weight approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/JCQTzUR4E62guc-hjhgSoYkoWoagIr3z8uXn4BJDeY8/bG9jYWw6Ly9tZWRpYS85Sy8yRS82MFIzMEMxRzZDVEsyRTlLL2I4ZDRlYjAxLmpwZWc, https://media.aiku.io/OVwF0Z9an1x8fTK7GA9xYxhU8BzOtondBnhnK6j22Qw/bG9jYWw6Ly9tZWRpYS85SC8yRS82MFIzMEMxRzZDVEsyRTlIL2JlMGFhM2VlLmpwZWc, https://media.aiku.io/Wza3b1POeMEL70mTbg1oBeciWVkh7IYvoJv6HOkUG8A/bG9jYWw6Ly9tZWRpYS85Si8yRS82MFIzMEMxRzZDVEsyRTlKL2NkMTRlOWI2LmpwZWc, https://media.aiku.io/E_g5ZuwnMsqFfe5UFcMko_T9c4xlv7JIcZVZ0w71MmE/bG9jYWw6Ly9tZWRpYS85TS8yRS82MFIzMEMxRzZDVEsyRTlNLzdiYzVlNmIzLmpwZWc, https://media.aiku.io/ADmlzfP-k82DNDQghkPFyaBfMKB6enwX_oG9j-qOjyY/bG9jYWw6Ly9tZWRpYS85Ti8yRS82MFIzMEMxRzZDVEsyRTlOLzE4NjFiNjhjLmpwZWc, https://media.aiku.io/-PS9VdBfsZl6nP1sj9JWiSZrZO65esGOxUXvDPh1JVY/bG9jYWw6Ly9tZWRpYS85UC8yRS82MFIzMEMxRzZDVEsyRTlQLzBmNjMwZWVkLmpwZWc","2026-05-16 03:15:27+00","2026-05-15 12:38:33+00",,"2026-03-26 09:52:25+00",371
Active,AWGSoap-02,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538805,3946484,3.03,10,piece,0.303,"Heart Guest Soap - Wild Rose",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 18050, Linalool, Amyl Cinnamal","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weight approx 20 grams each and measure approx 45x40mm.</p><p><strong>Our Guest Soaps are also SLS and Paraben free.</strong></p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weight approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/dmTwYGAPkb63uJ19dlwN6BLYaGNM5RbASfyx1aTytZY/bG9jYWw6Ly9tZWRpYS85Uy8yRS82MFIzMEMxRzZDVEsyRTlTL2EzNTkzMGExLmpwZWc, https://media.aiku.io/xQJDqGG8GfvzEonMcF8HowEE4DbY_WlJD-ESJd1bB6w/bG9jYWw6Ly9tZWRpYS85US8yRS82MFIzMEMxRzZDVEsyRTlRLzFmMDEzZDY5LmpwZWc, https://media.aiku.io/jq2UkzalkpGgN3doqZmqU1yYSa6jATq8pFuP59OyeOU/bG9jYWw6Ly9tZWRpYS85Ui8yRS82MFIzMEMxRzZDVEsyRTlSL2FkODYwYzM5LmpwZWc, https://media.aiku.io/EF6jjcABtMY7D94R51nCpsXuyAzr5HWHTN8aDkPMf_w/bG9jYWw6Ly9tZWRpYS8xRy80Qy82MFIzMEMxRzZDVEs0QzFHL2ZkMTA3ZDg1LmpwZWc, https://media.aiku.io/ACFvgJpoNzRnTfxSqohcLzVJPdKPi-Sva0VFrz5hL4k/bG9jYWw6Ly9tZWRpYS8xSC80Qy82MFIzMEMxRzZDVEs0QzFIL2E0ODI2N2Y0LmpwZWc, https://media.aiku.io/3ltMYcV58MqDhEEoauTaimIkeTtguW9Yub6WG9imoT8/bG9jYWw6Ly9tZWRpYS8xSi80Qy82MFIzMEMxRzZDVEs0QzFKLzg2ZWIyNDgwLmpwZWc","2026-05-16 03:15:27+00","2026-05-16 02:37:51+00",,"2026-03-26 09:52:25+00",330
Active,AWGSoap-04,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538829,3946485,3.03,10,piece,0.303,"Heart Guest Soap - Coconut",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 77891, Coumarin, Benzyl Alcohol","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weight approx 20 grams each and measure approx 45x40mm.</p><p><strong>Our Guest Soaps are also SLS and Paraben free.</strong></p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weight approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/k6biJRgHMO_EvH2Tm96JpbFgDDNAkFcGgZi3lySd0K8/bG9jYWw6Ly9tZWRpYS8xUC80Qy82MFIzMEMxRzZDVEs0QzFQLzU0ODMzM2IzLmpwZWc, https://media.aiku.io/y7aJV8Klu9GqCw9-LH68rETYW2q06oAYYp5N8WiBauU/bG9jYWw6Ly9tZWRpYS8xTS80Qy82MFIzMEMxRzZDVEs0QzFNL2I0Yjc2NWU4LmpwZWc, https://media.aiku.io/yT2CDJfjdAVbtEgchBiEA-VhgwhqUsXOL4vO10I9dqE/bG9jYWw6Ly9tZWRpYS8xTi80Qy82MFIzMEMxRzZDVEs0QzFOLzJmODgxZmI0LmpwZWc, https://media.aiku.io/zGP1eXFU0txCkgzGO-Sk6sojae07h1aUrbMmdegJ1z4/bG9jYWw6Ly9tZWRpYS8xUS80Qy82MFIzMEMxRzZDVEs0QzFRLzI2MWRkZDg1LmpwZWc, https://media.aiku.io/6PmVWlPB7hs47KPRb3JAwes0jGUOoTrtBQIazSinX8w/bG9jYWw6Ly9tZWRpYS8xUi80Qy82MFIzMEMxRzZDVEs0QzFSLzZiOWUxMzNhLmpwZWc, https://media.aiku.io/lmawRe1iUXqjcoPKdWpJy03PDn3BEP1HBgNNWK2adCQ/bG9jYWw6Ly9tZWRpYS8xUy80Qy82MFIzMEMxRzZDVEs0QzFTLzQzZjk3ZTg2LmpwZWc","2026-05-12 12:14:10+00","2026-05-12 12:14:10+00",,"2026-03-26 09:52:25+00",195
Active,AWGSoap-05,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538836,3946486,3.03,10,piece,0.303,"Heart Guest Soap - Orange & Warm Ginger",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 19140, CI 18050, Limonene, Cinnamal, Citral, Linalool","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weight approx 20 grams each and measure approx 45x40mm.</p><p><strong>Our Guest Soaps are also SLS and Paraben free.</strong></p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weight approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/MII0xO_YdmRr7YJ2Jo0tp1OinhG7cdWF-PU9r43C7xQ/bG9jYWw6Ly9tZWRpYS9ITS80Qy82MFIzMEMxRzZDVEs0Q0hNL2Q2ODlhYjFkLmpwZWc, https://media.aiku.io/lDu233Jp_1PtNOa6EVKHHNhluAcQPQz3hEXGrtOWdso/bG9jYWw6Ly9tZWRpYS9ISC80Qy82MFIzMEMxRzZDVEs0Q0hIL2NiNjVlMjIzLmpwZWc, https://media.aiku.io/r0Vz6K-rxZPH-C5VPTFISMKZiwgtUCp6lShyscIv1Xw/bG9jYWw6Ly9tZWRpYS9ISi80Qy82MFIzMEMxRzZDVEs0Q0hKL2JhMzM5MzZhLmpwZWc, https://media.aiku.io/NoMr7u3nQHQjmGlKkTjf4in9px1KBuEyVD_rFG3q_4Q/bG9jYWw6Ly9tZWRpYS9ISy80Qy82MFIzMEMxRzZDVEs0Q0hLLzg4ZWMxYWIxLmpwZWc, https://media.aiku.io/PJMrBsxLJA_meolKuQq9nkjFQQTKZt_ItvDiCNMkYcY/bG9jYWw6Ly9tZWRpYS9ITi80Qy82MFIzMEMxRzZDVEs0Q0hOL2Y5ZmYwNGRkLmpwZWc, https://media.aiku.io/4aqQh7Xia9BQaYTDrZoClLc7rEbvuD9PE32yVA_2z6I/bG9jYWw6Ly9tZWRpYS9IUC80Qy82MFIzMEMxRzZDVEs0Q0hQL2RkYzk4NmY5LmpwZWc, https://media.aiku.io/cfAsr6vjOBBIs-xLux3ecZ0cg8iGo7EJG1v2Vr8RsPk/bG9jYWw6Ly9tZWRpYS9IUS80Qy82MFIzMEMxRzZDVEs0Q0hRL2RiN2NkODRiLmpwZWc","2026-05-16 02:37:51+00","2026-05-16 02:37:51+00",,"2026-03-26 09:52:25+00",126
Active,AWGSoap-06,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538843,3946487,3.03,10,piece,0.303,"Heart Guest Soap - Green Tea",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 19140, CI 42090, Linalool, Hexyl Cinnamal, Gerniol","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weight approx 20 grams each and measure approx 45x40mm.</p><p><strong>Our Guest Soaps are also SLS and Paraben free.</strong></p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weight approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/GdjhlHOeWYq60Vu9MHr3ydrgwOM17QKiS9U65i9CSNU/bG9jYWw6Ly9tZWRpYS9TRy80Qy82MFIzMEMxRzZDVEs0Q1NHL2E1YTdmNDQ5LmpwZWc, https://media.aiku.io/nzziB4tmmpMJi63tCkDBUEO9lnvytdEej45c3rYWLEg/bG9jYWw6Ly9tZWRpYS9IUi80Qy82MFIzMEMxRzZDVEs0Q0hSL2VlNWRiZmIyLmpwZWc, https://media.aiku.io/c5ckmF3y6Fy17-mNfMTTehI4D0fDdYii56_rsIqmsXs/bG9jYWw6Ly9tZWRpYS9IUy80Qy82MFIzMEMxRzZDVEs0Q0hTL2IzODZkOTI3LmpwZWc, https://media.aiku.io/piJuEzsaLxdK9wLCmpuglCW3SMsx-4oCiyNgT8l5OoE/bG9jYWw6Ly9tZWRpYS9TSC80Qy82MFIzMEMxRzZDVEs0Q1NIL2RjMzNiOGNiLmpwZWc, https://media.aiku.io/k-fwXWUww0LNsyixRULP0oZ0RH_JaYjCm2w7uChtIwM/bG9jYWw6Ly9tZWRpYS9TSi80Qy82MFIzMEMxRzZDVEs0Q1NKLzU3ODA1ZWEwLmpwZWc, https://media.aiku.io/LnAnP9KhyyCxyQ4cgWnJ7vv9TG4b-hoQBA8u7BfhZwA/bG9jYWw6Ly9tZWRpYS9TSy80Qy82MFIzMEMxRzZDVEs0Q1NLLzM4YjUyNWQzLmpwZWc","2026-05-16 02:37:52+00","2026-05-16 02:37:52+00",,"2026-03-26 09:52:25+00",198
Active,AWGSoap-07,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538850,3946488,3.03,10,piece,0.303,"Heart Guest Soap - Lotus Flower",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 77891, CI 42090, Geraniol, α-Isomethyl Ionone, Citronellol, Linalool","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weigh approx 20 grams each and measure approx 45x40mm.</p><p>Our Guest Soaps are also SLS and Paraben free.</p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weigh approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/CBM_h3oo2KcrwR6jQvZ_ZGuBXi6C2KfTk8-DDJUjULU/bG9jYWw6Ly9tZWRpYS8xTS82Qy82MFIzMEMxRzZDVEs2QzFNL2ZkMTg1ZDE1LmpwZWc, https://media.aiku.io/NM2DVHLlYIkGo580bZvVAa4TgD9pi5MSHaTb6y6ztD8/bG9jYWw6Ly9tZWRpYS8xSi82Qy82MFIzMEMxRzZDVEs2QzFKL2ExMzE0NjBkLmpwZWc, https://media.aiku.io/eobgnt8z6bc0FYq7VuNdxJJ7Ex-6sk0eK2Fl_b30_i4/bG9jYWw6Ly9tZWRpYS8xSy82Qy82MFIzMEMxRzZDVEs2QzFLLzNlYjMwODgyLmpwZWc, https://media.aiku.io/hw0DniTYZOViHypuFQGbpfHkl07GW5AtnSXg4K4GZjo/bG9jYWw6Ly9tZWRpYS8xTi82Qy82MFIzMEMxRzZDVEs2QzFOLzk3YmUyNTBiLmpwZWc","2026-05-16 02:37:52+00","2026-05-16 02:37:52+00",,"2026-03-26 09:52:25+00",91
Active,AWGSoap-08,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538867,3946489,3.03,10,piece,0.303,"Heart Guest Soap - Raspberry",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Tetra Sodium EDTA, Tetra Sodium Etidronate, Benzyl Alcohol, CI 19140, CI 18050","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weigh approx 20 grams each and measure approx 45x40mm.</p><p>Our Guest Soaps are also SLS and Paraben free.</p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weigh approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/Pq3XS-dQJFha3uu_MbyjiZ5qq4gHKttb-pt24kMJ5Ag/bG9jYWw6Ly9tZWRpYS85Uy8wRS82MFIzMEMxRzZDVkswRTlTLzg4MDAxMGRlLmpwZWc, https://media.aiku.io/3ScFhNPLPxwdQmsZPhwD8u6jH_3dd05AdcuK1na_yQQ/bG9jYWw6Ly9tZWRpYS85US8wRS82MFIzMEMxRzZDVkswRTlRL2JjOTFjZTUxLmpwZWc, https://media.aiku.io/CgZi0IOHfo1BUF67LaZMeC__uFfE6-CQ-SAU7m_QtQM/bG9jYWw6Ly9tZWRpYS85Ui8wRS82MFIzMEMxRzZDVkswRTlSLzZkOWI5YzEzLmpwZWc, https://media.aiku.io/roiIo1jVEWdx_nKud3xzNUvlQ7ezlyEi30dmOqXjuA8/bG9jYWw6Ly9tZWRpYS8xRy8yQy82MFIzMEMxRzZDVksyQzFHLzI4YTYzYTFjLmpwZWc","2026-05-16 03:15:27+00","2026-05-15 12:38:32+00",,"2026-03-26 09:52:25+00",351
Active,AWGSoap-09,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5055796538874,3946490,3.03,10,piece,0.303,"Heart Guest Soap - Grapefruit",0.6,0.02,0.2,"1.5x4x4 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 19140, Limonene, Hexyl Cinnamal, Citral, Linalool","<p>Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!</p><p>Guest Soaps weigh approx 20 grams each and measure approx 45x40mm.</p><p><strong>Our Guest Soaps are also SLS and Paraben free.</strong></p>","Our own little heart shaped guest soaps will make a wonderful addition to your bathroom. They are colourful and smell great!Guest Soaps weigh approx 20 grams each and measure approx 45x40mm.Our Guest Soaps are also SLS and Paraben free.",GBR,3401110000,0.0%,,Normal,"https://media.aiku.io/pLDe58jLB1uZoMRFt6cmawlY6qRs7kpsB46Lp8C1CWc/bG9jYWw6Ly9tZWRpYS85US8yRS82MFIzMEMxRzZDVksyRTlRLzIwZTA0N2U0LmpwZWc, https://media.aiku.io/BvUCZYQZ3hIcDQG_abYmnRG30FiGsCST8-YMEHN7_gs/bG9jYWw6Ly9tZWRpYS85TS8yRS82MFIzMEMxRzZDVksyRTlNL2Y2NTg1NjM0LmpwZWc, https://media.aiku.io/btqRsav-QzEEYSNSp6uZN3LARQ8cKGNSpoA5t18sYSA/bG9jYWw6Ly9tZWRpYS85Ti8yRS82MFIzMEMxRzZDVksyRTlOLzZjMDYwMWM3LmpwZWc, https://media.aiku.io/iKhfN0FALkbeLCNU3K8m76G3SbtAU_xA9V34awReRTA/bG9jYWw6Ly9tZWRpYS85UC8yRS82MFIzMEMxRzZDVksyRTlQLzU2ZDZkZDQ1LmpwZWc","2026-05-05 02:56:14+00","2026-03-13 14:56:09+00",,"2026-03-26 09:52:25+00",218
Discontinuing,AWGSoap-11,,bath-body,"Bath & Body",sd-sbw,"Whipped Soaps & Bars",AWGsoap,"Heart Shaped Guest Soaps (10PCS)",5056422980005,3666589,3.03,10,piece,0.303,"Yellow Duck Guest Soap - Fizzy Peach",0.6,0.02,0.21,"4.5x1.7x3.8 (cm)","Sodium Palmate, Sodium Palm Kernelate, Aqua, Glycerin, parfum, Sodium Citrate, Sodium Chloride, Tetrasodium Glutamate Diacetate, Citric Acid, CI 77891, CI 19140, Linalool, Amyl Cinnamal, Citronellol, Benzyl Salicylate, Hexyl Cinnamal, Limonene",,,GBR,3401110000,0%,,Discontinuing,"https://media.aiku.io/lSjx__Xk2dbMvjBgcxoqyVF63JPe3rzIG_hxYc8pFd4/bG9jYWw6Ly9tZWRpYS9TRy9FRC82MFIzMEMxRzZSUktFRFNHLzNlZDU1ZWQ5LmpwZWc, https://media.aiku.io/4xWpUk02aGkrKAqoKTThW3mupaAceYrsmZVP8iLjeKQ/bG9jYWw6Ly9tZWRpYS9IUi9FRC82MFIzMEMxRzZSUktFREhSLzhlMzc2NzdhLmpwZWc, https://media.aiku.io/7hNFt2CBGxUk7_KgoyHWpVZ1beiQzjdTBnI7BpsM9gk/bG9jYWw6Ly9tZWRpYS9IUy9FRC82MFIzMEMxRzZSUktFREhTL2U1MjNmODgyLmpwZWc, https://media.aiku.io/tMCfNEDyHQqnzysfJebp0sgz0K9Vxr7MEOoIDXulZYA/bG9jYWw6Ly9tZWRpYS9TSC9FRC82MFIzMEMxRzZSUktFRFNILzRjYTA2MzQ0LmpwZWc","2026-05-05 02:57:59+00",,,"2026-03-26 09:42:40+00",22
Active,AWHBL-01,,aromatherapy,Aromatherapy,sd-mass,"Massagers & Ritual Items",AWHBL,"Luxury Lavender Wheat Bag in Gift Box",5055796579150,,7.24,1,"wheat bag",7.24,"Luxury Lavender Wheat Bag in Gift Box - Lavender Comforts",14.95,0.75,0.75,"40x12.5x4.5 (cm)","Lavender Essential Oil, Wheat, Polyester Bag, Cardboard Box","<p>Relax and unwind with our of Luxury Lavender &#39;Lavender Comforts&#39; Wheat Bag in Gift Boxes.</p><p>Wheat bags have been used in alternative therapy for many years. Wheat has a unique cellular structure which can absorb heat or cold quickly and then release it evenly. Lavender is renowned for helping to relieve tension and pain so you can imagine how relaxing these are combined. An excellent and safe alternative to hot water bottles.</p><p>But not only that, it has a stunning design and comes in a lovely, unique gift box. How will your customers resist!&nbsp;</p><p>Order some today and give your customers the relaxation they deserve</p>","Relax and unwind with our of Luxury Lavender &#39;Lavender Comforts&#39; Wheat Bag in Gift Boxes.Wheat bags have been used in alternative therapy for many years. Wheat has a unique cellular structure which can absorb heat or cold quickly and then release it evenly. Lavender is renowned for helping to relieve tension and pain so you can imagine how relaxing these are combined. An excellent and safe alternative to hot water bottles.But not only that, it has a stunning design and comes in a lovely, unique gift box. How will your customers resist!&nbsp;Order some today and give your customers the relaxation they deserve",CHN,6307909891,6.5%,,Normal,"https://media.aiku.io/pn_kuIMBadfhSeXnO_sdlRmK4xgkE-PHcIHD_kBF7Gw/bG9jYWw6Ly9tZWRpYS85Sy84RS82MFIzMEMxRzZHVjM4RTlLLzZiNzBmNDkxLmpwZWc, https://media.aiku.io/VEI0dTUnM4UF1FbOMPqYlPR07w2NftySTuGzDQgDBZ8/bG9jYWw6Ly9tZWRpYS85Si84RS82MFIzMEMxRzZHVjM4RTlKL2E0ODA1NDI0LmpwZWc","2026-05-05 02:56:11+00","2026-04-17 14:16:08+00",,"2026-03-26 09:52:35+00",35
Discontinuing,AWHP-02,,candles,"Candles & Holders",sd-sc,"Soy Wax Candles",AWHP,"Home is Home Soy Candle Pots",5056368302589,,7.58,1,candle,7.58,"Home is Home Candle Pots - Vintage Garden",12.5,0.65,0.65,"10x10x10 (cm)","Soy Wax, Fragrance, Ceramic","<p>Bring the freshness of the outdoors into your home with our Large Home is Home Candle Pot. This beautiful candle is <strong>made with natural soy wax and beautiful fragrances </strong>crafted with a blend of high quality British perfume oils. This luxurious candle looks timeless and would be a perfect present to give to your loved ones.<br style=""color: rgb(114, 114, 114); font-family: Ubuntu, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><br style=""color: rgb(114, 114, 114); font-family: Ubuntu, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><strong>Soy wax candles are a great eco-friendly alternative to paraffin candles. </strong>Soy candles burn evenly so you won&rsquo;t have any wax left on the sides of the jar. They disperse the fragrance beautifully and are better for the planet. Soy candles also burn 30-50% longer and do not contain the toxins that paraffin candles have. What&rsquo;s not to love?&nbsp;</p><p><strong>Burning time 45 hours.</strong></p><p><strong>Tips:</strong> Once the candle is finish, wash the pot and &nbsp;reuse it as a plant pot! </p>","Bring the freshness of the outdoors into your home with our Large Home is Home Candle Pot. This beautiful candle is made with natural soy wax and beautiful fragrances crafted with a blend of high quality British perfume oils. This luxurious candle looks timeless and would be a perfect present to give to your loved ones.Soy wax candles are a great eco-friendly alternative to paraffin candles. Soy candles burn evenly so you won&rsquo;t have any wax left on the sides of the jar. They disperse the fragrance beautifully and are better for the planet. Soy candles also burn 30-50% longer and do not contain the toxins that paraffin candles have. What&rsquo;s not to love?&nbsp;Burning time 45 hours.Tips: Once the candle is finish, wash the pot and &nbsp;reuse it as a plant pot! ",CHN,3406000000,70.0%,,Discontinuing,"https://media.aiku.io/1pKsXrTocZb-sy_eZ_NvtWvk7FWehbZwEI0td_VfsnM/bG9jYWw6Ly9tZWRpYS85TS9BRC82MFIzMEMxRzZNV0tBRDlNLzhiYzg4ODZiLmpwZWc, https://media.aiku.io/6rtkEo5iF33BaAVGZPEyIaj1iAJqks_WdzcGf9UKllI/bG9jYWw6Ly9tZWRpYS85Si9BRC82MFIzMEMxRzZNV0tBRDlKL2M2NTBiMThjLmpwZWc, https://media.aiku.io/kX2uwOarPE7lG2ETpjaf22Y7CvXN1fMhLUL9Zh8MsIw/bG9jYWw6Ly9tZWRpYS85SC9BRC82MFIzMEMxRzZNV0tBRDlILzA5ZDI2NTM3LmpwZWc, https://media.aiku.io/gfBH1v8EZ3QPrHQ7a6bTzYd_gasvuQNTOdnN5He_5dw/bG9jYWw6Ly9tZWRpYS85Sy9BRC82MFIzMEMxRzZNV0tBRDlLL2M0NDcxMjJjLmpwZWc, https://media.aiku.io/zRogcL8xHG0uTlsmPZ6EqlSWSAZp-YAhmqzI7rrijgc/bG9jYWw6Ly9tZWRpYS85Ry9BRC82MFIzMEMxRzZNV0tBRDlHL2RkZDVjYTRiLmpwZWc","2026-05-05 02:57:40+00","2026-03-18 02:51:36+00",,"2026-03-26 09:44:23+00",34
